Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Edat_quinquennal,Nombre
2007,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Home,75-79 anys,5
2007,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Dona,30-34 anys,102
2007,5,Sarrià-Sant Gervasi,24,les Tres Torres,Dona,30-34 anys,46
2007,5,Sarrià-Sant Gervasi,23,Sarrià,Dona,30-34 anys,104
2007,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Dona,30-34 anys,17
2007,4,Les Corts,21,Pedralbes,Dona,30-34 anys,25
2007,4,Les Corts,20,la Maternitat i Sant Ramon,Dona,30-34 anys,93
2007,4,Les Corts,19,les Corts,Dona,30-34 anys,220
2007,3,Sants-Montjuïc,18,Sants,Dona,30-34 anys,297
2007,3,Sants-Montjuïc,17,Sants - Badal,Dona,30-34 anys,157
2007,3,Sants-Montjuïc,16,la Bordeta,Dona,30-34 anys,102
2007,3,Sants-Montjuïc,15,Hostafrancs,Dona,30-34 anys,95
2007,3,Sants-Montjuïc,14,la Font de la Guatlla,Dona,30-34 anys,58
2007,3,Sants-Montjuïc,13,la Marina de Port,Dona,30-34 anys,118
2007,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Dona,30-34 anys,2
2007,3,Sants-Montjuïc,11,el Poble Sec,Dona,30-34 anys,267
2007,2,Eixample,10,Sant Antoni,Dona,30-34 anys,231
2007,2,Eixample,9,la Nova Esquerra de l'Eixample,Dona,30-34 anys,373
2007,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Dona,30-34 anys,310
2007,2,Eixample,7,la Dreta de l'Eixample,Dona,30-34 anys,297
2007,2,Eixample,6,la Sagrada Família,Dona,30-34 anys,362
2007,2,Eixample,5,el Fort Pienc,Dona,30-34 anys,182
2007,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Dona,30-34 anys,259
2007,1,Ciutat Vella,3,la Barceloneta,Dona,30-34 anys,116
2007,1,Ciutat Vella,2,el Barri Gòtic,Dona,30-34 anys,160
2007,1,Ciutat Vella,1,el Raval,Dona,30-34 anys,316
2007,99,No consta,99,No consta,Dona,25-29 anys,4
2007,10,Sant Martí,73,la Verneda i la Pau,Dona,25-29 anys,52
2007,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Dona,30-34 anys,235
2007,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Dona,30-34 anys,237
2007,6,Gràcia,28,Vallcarca i els Penitents,Dona,30-34 anys,96
2007,6,Gràcia,29,el Coll,Dona,30-34 anys,36
2007,9,Sant Andreu,57,la Trinitat Vella,Dona,30-34 anys,35
2007,8,Nou Barris,56,Vallbona,Dona,30-34 anys,13
2007,8,Nou Barris,55,Ciutat Meridiana,Dona,30-34 anys,28
2007,8,Nou Barris,54,Torre Baró,Dona,30-34 anys,3
2007,8,Nou Barris,53,la Trinitat Nova,Dona,30-34 anys,26
2007,8,Nou Barris,52,la Prosperitat,Dona,30-34 anys,94
2007,8,Nou Barris,51,Verdun,Dona,30-34 anys,74
